Object Name,Institution,UID,Object metadata link,Permanent Object URL (item landing page),Image id,Image URL,Collections Page URL,Description
Orrery Thomas Wright,SM,co56618,http://collection.sciencemuseum.org.uk/api/objects/co56618,http://collection.sciencemuseum.org.uk/objects/co56618,,http://smgco-images.s3.amazonaws.com/media/I/A/A/medium_1919_0001__0001_.jpg,,"Orrery showing Sun, Earth & Moon by Thomas Wright, London early 18th century. Modified for display with wooden base (removed) and later separate pulley to drive wheelwork (removed).

Dated to the mid eighteenth century, this planetary model was made by the London instrument Maker Thomas Wright. Called an orrery or more correctly a tellurium, it is a demonstration model to show the motions of the Earth and Moon around the Sun. This example has a wooden drum base with a hand painted plate and brass calendar ring supported on pillars. Such devices became popular during seventeenth century, especially after Sir Isaac Newton published his universal theory of gravity. To reproduce the motions of the solar system this model employs a hand crank to drive gear wheels. This type of orrery would have been commonly employed at public astronomy lectures."
Spring driven pendulum clock,SM,co805,http://collection.sciencemuseum.org.uk/api/objects/co805,http://collection.sciencemuseum.org.uk/objects/co805,,http://smgco-images.s3.amazonaws.com/media/W/P/A/medium_1954_0580__0003_.jpg,,"Pendulum bracket clock, spring driven, with black japanned wooden case by Johannes van Ceulen of the Hague, Netherlands, 1670-1680.

A Dutch bracket clock by Johannes van Ceulen of the Hague, in wooden case, c. 1675."
Tim Berners-Lee's NeXT cube computer,SM,co8232360,http://collection.sciencemuseum.org.uk/api/objects/co8232360,http://collection.sciencemuseum.org.uk/objects/co8232360,,http://smgco-images.s3.amazonaws.com/media/W/P/A/medium_L2014_4158__0003_.jpg,,"""NeXTcube,"" a NeXT computer, including screen, keyboard and mouse, made by NeXT, Redwood CIty, California, United States, 1990. Used by Tim Berners-Lee to design the World Wide Web, at CERN, 1990.

This is the original NeXT computer used by Sir Tim Berners-Lee to design the World Wide Web and host the first web page at the scientific research establishment CERN on 25 December 1990. In March 1989 Tim Berners-Lee wrote a document on “Information Management: A Proposal” for colleagues at CERN. His boss, Mike Sendall, described the proposal as ‘vague but exciting…’ and agreed to the purchase of the NeXT cube. Berners-Lee’s computer was connected to the local network and in 1990 he linked it to the internet using his hypertext idea. The machine was the first web server and to turn it off would have simply meant turning off the World Wide Web, an idea which is inconceivable to us today."
Helen Sharman's space suit,SM,co8030220,http://collection.sciencemuseum.org.uk/api/objects/co8030220,http://collection.sciencemuseum.org.uk/objects/co8030220,,http://smgco-images.s3.amazonaws.com/media/I/A/A/medium_D161384.jpg,,Zvezda space suit made by SOKOL used by Helen Sharman during the space flight on board the SOYUZ-TM-12 and MIR spacecraft in May 1991. Space suit model number KV-2 No. 167
Space Food,SM,co8407927,http://collection.sciencemuseum.org.uk/api/objects/co8407927,http://collection.sciencemuseum.org.uk/objects/co8407927,,http://smgco-images.s3.amazonaws.com/media/I/A/A/medium_cd0679_030_120215_1991_50_5_Space_food.jpg,,"Four cheese cracker cubes, supplied as dehydrated space food by the NASA Apollo Programme."
VeeDee Mechanical vibrator,SM,co140168,http://collection.sciencemuseum.org.uk/api/objects/co140168,http://collection.sciencemuseum.org.uk/objects/co140168/veedee-mechanical-vibrator-london-england-1900-1915-vibrator,,http://smgco-images.s3.amazonaws.com/media/S/O/W/large_A602751.jpg,,"Mechanical ' VeeDee' vibrator, cased by J.E. Garratt, London, English, 1900-1915

The ‘Veedee’ vibratory massager claimed to cure colds, digestive complaints and flatulence through ‘curative vibration’. It is seen here with its original box and two attachments. Instructions on the box state there was almost nothing the German-made ‘Veedee’ vibrator could not cure. The name is thought to be a pun on the Latin term, ‘Veni Vidi Vici’. This means ‘I came, I saw, I conquered’. During the late 1800s, massage was considered effective for combating almost any affliction. These ranged from headaches to female ‘hysteria’. A huge array of massage tools such as this example were advertised in magazines and newspapers."
Side view of the human eye,SM,co8103898,http://collection.sciencemuseum.org.uk/api/objects/co8103898,http://collection.sciencemuseum.org.uk/objects/co8103898/print-showing-side-view-of-the-human-eye-europe-1851-1860-print,,,,"Print, Tabula XLIII from the anatomical treatise 'Schola et Historia Medicinae' / Gul. (William) Rowley (1742-1806). Edition by Royce c1850s. Sections through the human eye and optic nerve.

The structure of the human eye has been revealed in this print, which shows a dissected human face, accompanied by letters used with a key to identify each part. This print was taken from an anatomical treatise called 'Schola Medicinæ Universalis Nova' or the 'New Universal History and School of Medicine' by William Rowley (1742-1806), an English male midwife, surgeon and anatomist. First published in 1793, the work contained 68 copper engravings of the human body. Anatomical prints were useful tools for medical students as specific features of the body could be enlarged and picked out, making the structures easier to understand."
Unboxed Star Trek model,SM,co8410870,http://collection.sciencemuseum.org.uk/api/objects/co8410870,http://collection.sciencemuseum.org.uk/objects/co8410870,,http://smgco-images.s3.amazonaws.com/media/I/A/A/medium_cd0669_007_111108_1996_152_1_Star_Trek_USS_Enterpise_box.jpg,,Unmade boxed scale model of Star Trek USS Enterprise spaceship from Star Trek : The New Generation
5-needle train signalling instrument,SM,co27009,http://collection.sciencemuseum.org.uk/api/objects/co27009,http://collection.sciencemuseum.org.uk/objects/co27009,,http://smgco-images.s3.amazonaws.com/media/W/P/A/medium_1912_0003__0002_.jpg,,"5-needle train signalling instrument used on the London and Blackwall Railway, probably made by W T Henley's Telegraph Works Company for the Electric Telegraph Company, England, 1840. The London and Blackwall railway was the second permanent telegraph line to be constructed, along a 3 mile section of the track."
Model of Thor Heyerdhal's reed boat,SM,co483957,http://collection.sciencemuseum.org.uk/api/objects/co483957,http://collection.sciencemuseum.org.uk/objects/co483957,,http://smgco-images.s3.amazonaws.com/media/W/P/A/medium_1972_0052__0001_.jpg,,Model of Thor Heyerdahl's reed boat RA II.
Islamic astrolabe,SM,co56821,http://collection.sciencemuseum.org.uk/api/objects/co56821,http://collection.sciencemuseum.org.uk/objects/co56821/islamic-astrolabe-1645-1655-astrolabe,,http://smgco-images.s3.amazonaws.com/media/W/P/A/large_1938_0427__0001_.jpg,,"Small brass planispheric astrolabe engraved with Arabic script, thought to be Persian, c. 1650, IC 1056 (international checklist)."
Perspective view of a ship model,SM,co8023087,http://collection.sciencemuseum.org.uk/api/objects/co8023087,http://collection.sciencemuseum.org.uk/objects/co8023087/perspective-view-of-a-ship-model-oil-painting-anamorphic-picture,,http://smgco-images.s3.amazonaws.com/media/W/P/A/large_1948_0326_0001__0004_.jpg,,"An anamorphosis painting of a perspective stern view of a ship model / Artist unknown, c.1744-1774. Oil on panel; 43.5 x 52.5 cm in gilded frame, 53.5 x 62 x 4.3 cm. Formerly attributed to 'Van de Velde'. Panel is made from three pieces of wood, the paint overlaid. Painted viewing circle encloses an image of a woman's head. Ship model is of French origin; mounted upon a marbled tabletop. With cylindrical mirror (see 1948-326/2) and anamorphic prints (see 1948-326/3-22)."
Miss Windermere powerboat,SM,co8413974,http://collection.sciencemuseum.org.uk/api/objects/co8413974,http://collection.sciencemuseum.org.uk/objects/co8413974,,,,"Miss Windermere VI powerboat, the world's fastest prop-driven boat.

There is an accompanying VHS tape showing successful speed record attempt, 17 October 2003, held in the museum archive."
Mourning ring,V&A,O125932,http://www.vam.ac.uk/api/json/museumobject/O125932,http://collections.vam.ac.uk/item/O125932,2007BM5733,http://media.vam.ac.uk/media/thira/collection_images/2007BM/2007BM5733_jpg_l.jpg,,"Enamelled gold mourning ring, The oval bezel set with a faceted crystal enclosing a monogram in gold wire. The hoop decorated with a skeleton and cross bones reserved on black enamel. Inscribed inside M Frend obt 9' May 1709 aeta. 59."
Locket,V&A,O122844,http://www.vam.ac.uk/api/json/museumobject/O122844,http://collections.vam.ac.uk/item/O122844,2006BH1276,http://media.vam.ac.uk/media/thira/collection_images/2006BH/2006BH1276_jpg_l.jpg,,Hair jewels were worn to cherish the living as well as to remember the dead. The survival of many pieces celebrating love and friendship indicate their great social importance.
Puppet,V&A,O1263023,http://www.vam.ac.uk/api/json/museumobject/O1263023,http://collections.vam.ac.uk/item/O1263023,2013GL4642,http://media.vam.ac.uk/media/thira/collection_images/2013GL/2013GL4642_jpg_l.jpg,,"This is a property for a Punch and Judy show owned by Will Judge (1882-1960), billed variously as 'the Norfolk Comedian' and 'Refined Comedian and Patterer'. Although he performed all over the British isles, he was best known in East Anglia and the North of England. He played Dame in pantomime and married Gertrude Orchard, who played Principal Boy. The figures were a gift from his son, along with an archive relating to Will Judge's career, although it contains no reference to him working as a Punch and Judy man."
Lost drone,V&A,O1300398,http://www.vam.ac.uk/api/json/museumobject/O1300398,http://collections.vam.ac.uk/item/O1300398,2014HG6973,http://media.vam.ac.uk/media/thira/collection_images/2014HG/2014HG6973_jpg_l.jpg,,"Darren Cullen is an artist living and working in East London. His first, self-published comic is “an absurd and potentially offensive satire on military recruitment and the false promises that come with life (and death) in the army.” The comic is printed on a single sheet of paper featuring a 1.48 metre Bayeux tapestry style recreation of the Iraq war. His 'deluxe edition' contains several additional pull out pieces of work, including army related flyer adverts, A3 ""Action Man Battlefield Casualties"" poster, a 16 page 'Make Stuff Dead' mini-comic, postcards and stickers."
Qui a le droit? (Wedding dress),V&A,O164668,http://www.vam.ac.uk/api/json/museumobject/O164668,http://collections.vam.ac.uk/item/O164668,2011ER7596,http://media.vam.ac.uk/media/thira/collection_images/2011ER/2011ER7596_jpg_l.jpg,,"Wedding dress and veil. Black net veil, high-necked embroidered net body under low-cut black silk satin bodice and skirt, richly embroidered with silk, chenille and metallic threads, with overskirt in off-white silk satin."
"Poster, Peter Kennard",V&A,O93320,http://www.vam.ac.uk/api/json/museumobject/O93320,http://collections.vam.ac.uk/item/O93320/poster-kennard-peter-lawrence/,2006AF3340,http://media.vam.ac.uk/media/thira/collection_images/2006AF/2006AF3340_jpg_l.jpg,,"This poster by Peter Kennard is one of a set of eight, commissioned by the Stop the War Coalition in 2003, in protest against Britain’s involvement in the US-led war in Iraq. Seven of Britain’s leading artists were commissioned to produce posters. The posters were signed and published in a limited edition of 100."
The Almain Armourer's Album,V&A,O169066,http://www.vam.ac.uk/api/json/museumobject/O169066,http://collections.vam.ac.uk/item/O169066/the-almain-armourers-album-armour-design-halder-jacob/,2006AV8277,http://media.vam.ac.uk/media/thira/collection_images/2006AV/2006AV8277_jpg_l.jpg,,"This is a design for armour for Thomas Sackville (1536-1608), Lord Buckhurst and 1st Earl of Dorset, and comes from an album of designs known as the Almain Armourer's Album, or Jacob Album. The Album is one of the Victoria and Albert Museum's great Elizabethan treasures. It was compiled between 1557 and 1587 by Master Armourer, Jacob Halder, and records, in vivid detail, notable commissions at the English Royal Armoury in Greenwich during those years."
Pair of shoes,V&A,O74216,http://www.vam.ac.uk/api/json/museumobject/O74216,http://collections.vam.ac.uk/item/O74216/pair-of-shoes-de-havilland-terry/,2006AX6028,http://media.vam.ac.uk/media/thira/collection_images/2006AX/2006AX6028_jpg_l.jpg,,This type of men's shoe was fashionable in the 1970s. They are made of a patchwork of snakeskin leather in irridescent metallic colours. They have platform soles and high heels with a blunt square toe. Platform shoes were worn by both men and women.The more flamboyant rock stars of the day such as David Bowie and Elton John wore the most extreme examples.
David,V&A,O39861,http://www.vam.ac.uk/api/json/museumobject/O39861,http://collections.vam.ac.uk/item/O39861/david-plaster-cast-michelangelo/,2010EA6470,http://media.vam.ac.uk/media/thira/collection_images/2010EA/2010EA6470_jpg_l.jpg,,"This plaster cast of the celebrated marble sculpture of Michaelangelo's David (now in the Accademia in Florence) was acquired by the South Kensington Museum (now the V&A) in 1857. It was presented as a gift to Queen Victoria by the grand duke of Tuscany, after he had prevented the export of an Italian renaissance painting by Ghirlandaio, which the National Gallery had hoped to acquire."
Earrings,V&A,O74492,http://www.vam.ac.uk/api/json/museumobject/O74492,http://collections.vam.ac.uk/item/O74492/earrings-unknown/,2006AA3875,http://media.vam.ac.uk/media/thira/collection_images/2006AA/2006AA3875_jpg_l.jpg,,"The swirling gold mounts in this set of jewellery give the impression of great wealth, although this is in fact deceptive. The mounts are stamped out of thin gold sheet using far less metal than would appear to be the case. Long earrings came into fashion at the end of the 1820s. Earrings were made for pierced ears. The piercing itself was often carried out by a jeweller."
"Poster, Keith Haring",V&A,O225883,http://www.vam.ac.uk/api/json/museumobject/O225883,http://collections.vam.ac.uk/item/O225883/poster-haring-keith/,2016JF6014,http://media.vam.ac.uk/media/thira/collection_images/2016JF/2016JF6014_jpg_l.jpg,,"Haring produced this poster in 1989 a year after his own diagnosis with AIDS. This was also the year in which he established the Keith Haring Foundation in support of children’s charities and organizations involved in education, research and care related to AIDS."
Bed of Ware,V&A,O9138,http://www.vam.ac.uk/api/json/museumobject/O9138,http://collections.vam.ac.uk/item/O9138/great-bed-of-ware-bed-vredeman-de-vries/,2006AL3614,http://media.vam.ac.uk/media/thira/collection_images/2006AL/2006AL3614_jpg_l.jpg,,This bed is in the typical style of carved wooden beds of the 1590s but it is remarkable for its large size. It is over 326 centimetres wide. The height was slightly reduced in the 19th century. The human figures carved on the headboard would originally have been brightly painted.
The Virgin of Sorrows bust,V&A,O70476,http://www.vam.ac.uk/api/json/museumobject/O70476,http://collections.vam.ac.uk/item/O70476/the-virgin-of-sorrows-bust-mora-jose-de/,2012FV1177,http://media.vam.ac.uk/media/thira/collection_images/2012FV/2012FV1177_jpg_l.jpg,,"During the seventeenth and early eighteenth century busts of the sorrowing Virgin (Dolorosas) were widely produced in Spain. They were often paired with a corresponding bust of Christ as Man of Sorrows, displaying the wounds suffered at his crucifixion."
Spanish Civil War poster,V&A,O105791,http://www.vam.ac.uk/api/json/museumobject/O105791,http://collections.vam.ac.uk/item/O105791/spanish-civil-war-poster-poster-bardasano-jose/,2006BB3114,http://media.vam.ac.uk/media/thira/collection_images/2006BB/2006BB3114_jpg_l.jpg,,"This poster is the seventh, of an eight-part poster series designed by José Bardasano for the Spanish Communist Party (PCE) during the Spanish Civil War. Each poster in the series illustrated a point from the PCE's document 'Conditions For Winning the War'."
Automaton,V&A,O1224822,http://www.vam.ac.uk/api/json/museumobject/O1224822,http://collections.vam.ac.uk/item/O1224822/automaton-roullet-decamps/,2012FN8797,http://media.vam.ac.uk/media/thira/collection_images/2012FN/2012FN8797_jpg_l.jpg,,"Roullet-Decamps was one of the most famous French automata makers. The company was founded in 1865 by Jean Roullet and took the name Roullet-Decamps in 1889,ten years after the marriage of the daughter of Jean Roullet to Ernest Decamps, a mechanic by profession."
Tippoo's Tiger,V&A,O61949,http://www.vam.ac.uk/api/json/museumobject/O61949,http://collections.vam.ac.uk/item/O61949/tippoos-tiger-mechanical-organ-unknown/,2006AH4168,http://media.vam.ac.uk/media/thira/collection_images/2006AH/2006AH4168_jpg_l.jpg,,"""Tippoo's Tiger"" was made for Tipu Sultan, ruler of Mysore in South India (1782-1799). The almost life-size wooden semi-automaton consists of a tiger mauling a prostrate figure in European clothes. An organ is concealed inside the tiger's body, and when a handle at the side is turned, the organ can be played and the man's arm simultaneously lifts up and down. Intermittent noises are supposed to imitate the wails of the dying man."
Kimono,V&A,O1285086,http://www.vam.ac.uk/api/json/museumobject/O1285086,http://collections.vam.ac.uk/item/O1285086/kimono-unknown/,2014HB9274,http://media.vam.ac.uk/media/thira/collection_images/2014HB/2014HB9274_jpg_l.jpg,,"Kimono of the Taishō period are known for their bright, bold patterns. This example reveals the enormous skill with which textile artists of the early twentieth century, who employed the free-hand resist-dyeing technique known as yūzen, exploited chemical dyes to produce designs that were precise and detailed yet dramatic and exciting. Here lustrous silk embroidery has also been used to highlight the petals of some of the flowers, while others have been edged with gold."
Sword,V&A,O97344,http://www.vam.ac.uk/api/json/museumobject/O97344,http://collections.vam.ac.uk/item/O97344/sword/,2008BT1052,http://media.vam.ac.uk/media/thira/collection_images/2008BT/2008BT1052_jpg_l.jpg,,This sword is decorated with the arms of James Hartley (1745-99) and the arms of The East India Company and is inscribed: 'Presented to Lt. Colonel James Hartley in Testimony of his brave & gallant Conduct by The Honble East India Company 1779'
Standard,V&A,O113532,http://www.vam.ac.uk/api/json/museumobject/O113532,http://collections.vam.ac.uk/item/O113532/standard-unknown/,2010EJ1809,http://media.vam.ac.uk/media/thira/collection_images/2010EJ/2010EJ1809_jpg_l.jpg,,"This standard was presented to General Gerard Lake, after the Battle of Delhi, in September 1803 by the Mughal Emperor, Shah Alam II. It was awarded in recognition of his defeat of Daulat Rao Sindhia in the Second Anglo-Maratha War."
Blast,V&A,O16374,http://www.vam.ac.uk/api/json/museumobject/O16374,http://collections.vam.ac.uk/item/O16374/blast-oil-painting-gottlieb-adolph/,2006BC8264,http://media.vam.ac.uk/media/thira/collection_images/2006BC/2006BC8264_jpg_l.jpg,,"Blast is one of a series of works made by Gottlieb beginning in 1957 and commonly known as Bursts. Intended to signify the fundamental conflicts present in myth - conflicts that as philosopher Carl Gustav Jung suggests, are also present in the individual personality."
Armchair,V&A,O372099,http://www.vam.ac.uk/api/json/museumobject/O372099,http://collections.vam.ac.uk/item/O372099/armchair-webb-philip-speakman/,2014GW1189,http://media.vam.ac.uk/media/thira/collection_images/2014GW/2014GW1189_jpg_l.jpg,,"The first version of this armchair was designed in the 1860s by the architect Philip Webb for the firm of Morris, Marshall, Faulkner & Co., later Morris & Co. The idea of a chair back, which could be adjusted to different angles by altering the position of a horizontal rod, was taken from a traditional, vernacular example. Webb adapted this design for his armchair which remained in the firm's stock after it became Morris & Co. in 1875. The cushions are covered in 'Violet and Colombine', a wool and mohair fabric designed by William Morris in 1883 and exhibited for the first time that year on the Morris & Co. stand at the Foreign Fair in Boston, U.S.A."
Snuff container,V&A,O138759,http://www.vam.ac.uk/api/json/museumobject/O138759,http://collections.vam.ac.uk/item/O138759/snuff-container-unknown/,2008BT3331,http://media.vam.ac.uk/media/thira/collection_images/2008BT/2008BT3331_jpg_l.jpg,,"Snuff, a preparation of powdered and processed tobacco, has been widely used in Africa since Europeans introduced tobacco in the 16th century. Used in social situations, snuff was usually carried in a small container, such as this gourd which is missing its wooden stopper. "
Hanakobu Akujo,V&A,O76809,http://www.vam.ac.uk/api/json/museumobject/O76809,http://collections.vam.ac.uk/item/O76809/hanakobu-akujo-noh-mask-hidemitsu/,2006AT6556,http://media.vam.ac.uk/media/thira/collection_images/2006AT/2006AT6556_jpg_l.jpg,,Noh is the classical theatre of Japan which was codified in the 14th century under the father and son actors Kan'ami and Zeami under the patronage of the Shogun (supreme military leader) Ashikaga Yoshimitsu. The performances utilise masks and elaborate costume.
Hurdy-Gurdy,V&A,O58966,http://www.vam.ac.uk/api/json/museumobject/O58966,http://collections.vam.ac.uk/item/O58966/hurdy-gurdy-unknown/,2010EK2523,http://media.vam.ac.uk/media/thira/collection_images/2010EK/2010EK2523_jpg_l.jpg,,"The hurdy-gurdy is a stringed instrument, shaped like the body of a guitar or lute, with a winding handle which turns a disc to sound the strings."
Book,V&A,O1194435,http://www.vam.ac.uk/api/json/museumobject/O1194435,http://collections.vam.ac.uk/item/O1194435/book-mccorkell-family/,2012FP0247,http://media.vam.ac.uk/media/thira/collection_images/2012FP/2012FP0247_jpg_l.jpg,,This book of poetry was written by the McCorkell children as an Easter present for their father in 1930.
